Sentence|Gloss
その薬はsideeffectが少ないと評判です。|That medication has a reputation for having few side effects.
水をたくさん飲んでhydratedな状態を保つことが大切です。|It's important to stay hydrated by drinking plenty of water.
彼のcholesterolが高いことが健康診断でわかりました。|His health check-up revealed that his cholesterol is high.
nausea がひどくて今日は何も食べられませんでした。|The nausea was so bad that I couldn't eat anything today.
このproteinの多い食事が術後の回復を助けてくれます。|This high-protein diet helps with recovery after surgery.
病院のwaitingルームで二時間も待たされました。|I was made to wait for two hours in the hospital waiting room.
肩のspasmsがひどくて夜も眠れませんでした。|The shoulder spasms were so bad I couldn't sleep at night.
先生から体重をもう少しhealthyな範囲に戻すよう言われました。|The doctor told me to bring my weight back to a healthier range.
炎症を抑えるためにanti-inflammatoryな食品を取り入れています。|I'm incorporating anti-inflammatory foods to reduce inflammation.
彼女はdiabetesと診断されてから食生活を大きく変えました。|She changed her diet dramatically after being diagnosed with diabetes.
このcapsuleは一日二回、食後に飲んでください。|Please take this capsule twice a day after meals.
風邪のウイルスはimmune systemを弱らせることがあります。|Cold viruses can weaken your immune system.
胸のX-rayを撮って肺の状態を確認しましょう。|Let's take a chest X-ray to check the condition of your lungs.
その病院のnurse たちはとても親切で安心しました。|I felt reassured because the nurses at that hospital were very kind.
痛み止めのprescriptionをもらうために診察を受けました。|I had a consultation to get a prescription for pain medication.
このsupplementは鉄分と亜鉛が豊富に含まれています。|This supplement is rich in iron and zinc.
脳のscanの結果が出るまで一週間ほどかかります。|It will take about a week for the brain scan results to come out.
骨密度のtest結果が思ったより低くて心配しています。|I'm worried because my bone density test results were lower than expected.
アレルギー反応がacuteな場合はすぐに病院へ行ってください。|If the allergic reaction is acute, please go to the hospital immediately.
心臓のrhythmが不規則だと医師に言われました。|The doctor told me my heart rhythm is irregular.
夜のskincareルーティンが肌の調子を保つ鍵だと思います。|I think a nightly skincare routine is key to maintaining good skin condition.
彼はtherapyを始めてから以前より穏やかになったようです。|He seems calmer than before since he started therapy.
posture が悪いと長期的に首や背中に影響が出ます。|Poor posture can affect your neck and back in the long term.
このbiologicな薬は自己免疫疾患に使われることが多いです。|This biologic medication is often used for autoimmune conditions.
体のdetoxのために一週間ジュースだけで過ごす人もいます。|Some people spend a week on juice alone for a body detox.
医師はそのinjuryが完全に治るまで安静にするよう言いました。|The doctor said to rest until the injury heals completely.
運動後のcooldownをきちんとしないと筋肉痛がひどくなります。|If you don't do a proper cooldown after exercise, muscle soreness gets worse.
火事のsmokeが窓から見えます。|I can see smoke from the fire through the window.
救急車をcallしてください、早く！|Please call an ambulance, quickly!
彼女はaccidentの後、ずっと震えていた。|She kept trembling after the accident.
このdamageはとても深刻だと思います。|I think this damage is very serious.
非常口のlocationを確認しておいてください。|Please confirm the location of the emergency exit.
道が flooding状態で、車が通れません。|The road is flooded and cars can't pass.
怪我人がいるので、first aidキットを持ってきて！|There are injured people, so bring the first aid kit!
彼はpanicになって何もできなかった。|He panicked and couldn't do anything.
停電のせいで、backupの電源が必要です。|Because of the power outage, we need a backup power source.
警察に連絡するのが一番safeな選択です。|Contacting the police is the safest choice.
このconditionではとても危険です。|It's very dangerous in this condition.
子供たちをsecureな場所に移動させましょう。|Let's move the children to a secure place.
緊急のalertが携帯に届きました。|An emergency alert arrived on my phone.
その建物はstructuralなダメージを受けている。|That building has sustained structural damage.
彼はinjuryを隠して仕事を続けていた。|He hid his injury and kept working.
救助隊がvictimを探しています。|The rescue team is searching for victims.
このriskは無視できないと思います。|I think this risk cannot be ignored.
スプリンクラーがactiveになって水が出てきた。|The sprinkler became active and water started coming out.
その川はhazardousな状態になっています。|That river is in a hazardous condition.
避難するcapacityがない人たちを助けてください。|Please help those who don't have the capacity to evacuate.
彼のstateはとても不安定で、医者が心配しています。|His state is very unstable and the doctor is worried.
emergencyの時に何をすべきか知っていますか？|Do you know what to do in an emergency?
崖がcriticalな状態で、近づかないでください。|The cliff is in a critical state, so please don't approach.
彼女はscaredになって叫び始めた。|She became scared and started screaming.
その建物からの evacuationはとてもスムーズでした。|The evacuation from that building went very smoothly.
私のphoneのバッテリーが切れそうで、連絡できない。|My phone battery is about to die and I can't make contact.
川の水位がcriticalなレベルまで上がっています。|The river's water level is rising to a critical level.
彼らはshockで言葉が出なかった。|They were speechless from shock.
この薬はemergencyの時だけ使ってください。|Please use this medicine only in an emergency.
ガス漏れのsmellがするので、窓を開けてください。|There's a smell of a gas leak, so please open the windows.
その事故のsurvivorsはすでに病院にいます。|The survivors of that accident are already at the hospital.
buildingの屋上に人が取り残されています。|People are trapped on the rooftop of the building.
彼は全くpanicせず、冷静に対処した。|He didn't panic at all and handled it calmly.
この地域はfloodのriskが非常に高い。|This area has a very high risk of flooding.
彼女のconditionが急に悪化して、緊急手術になった。|Her condition suddenly worsened and she needed emergency surgery.
緊急連絡先にimmediatelyに電話してください。|Please call the emergency contact immediately.
地震の後、safetyのために公園に集まってください。|After the earthquake, please gather in the park for safety.
その傷はsevereで、すぐに病院に行くべきだ。|That wound is severe and you should go to the hospital right away.
rescueチームが山で迷子になった人を探しています。|The rescue team is searching for a person who got lost in the mountains.
彼はcriticalな状態だったが、なんとか助かった。|He was in a critical condition but somehow survived.
新しいcurtainを買いに、デパートへ行ってきました。|I went to the department store to buy new curtains.
このsweaterはセールで半額になっていますよ。|This sweater is half price on sale.
スーパーでorganicの野菜を探したけど、全然なかった。|I looked for organic vegetables at the supermarket but couldn't find any.
今日のerrands、全部終わらせてから帰ります。|I'll finish all today's errands before coming home.
そのhandbagsのデザインがすごくuniqueだと思わない?|Don't you think the design of those handbags is really unique?
郵便局でpackageを受け取るのに、身分証明書が必要でした。|I needed ID to pick up a package at the post office.
このrecieptを見せれば、返品できますよ。|If you show this receipt, you can return it.
drugstoreで日焼け止めを三本まとめて買いました。|I bought three bottles of sunscreen together at the drugstore.
あのお店のlayoutがわかりにくくて、いつも迷ってしまう。|That store's layout is so confusing, I always get lost.
cashで払った方が早いと思って、財布を出しました。|I thought paying with cash would be faster, so I took out my wallet.
試着室でfitを確認してから決めた方がいいですよ。|You should check the fit in the fitting room before deciding.
このgrocery listに書き忘れたものはない?|Is there anything I forgot to write on this grocery list?
あのbrand、最近どこのお店でも売り切れだよね。|That brand has been sold out everywhere lately, hasn't it?
冷蔵庫が空っぽだから、今夜はshopping行かないと。|The fridge is empty, so I have to go shopping tonight.
その靴のsizeが合わなくて、一つ上を取り寄せてもらいました。|The size of those shoes didn't fit, so I had them order one size up.
このcouponを使えば、五百円引きになります。|If you use this coupon, you'll get five hundred yen off.
exchange rateが悪いから、今は外国製品が高い。|Because the exchange rate is bad, imported goods are expensive right now.
ほしかったfurnitureがセールになるまで待つつもりです。|I plan to wait until the furniture I want goes on sale.
レジのqueueが長すぎて、別のレーンに移ったよ。|The checkout queue was too long, so I moved to a different lane.
あのcaféの隣に、新しい文房具屋さんができたよ。|A new stationery shop opened next to that café.
budgetが限られているから、必要なものだけ買います。|Since my budget is limited, I'll only buy what I need.
花屋さんでfreshな切り花を一束買って帰りました。|I bought a bunch of fresh cut flowers at the florist on my way home.
このskincare、成分表示をよく確認してから買った方がいい。|You should check the ingredient list carefully before buying this skincare product.
onlineで注文したものが、まだ届いていないんです。|What I ordered online still hasn't arrived.
あのお店のmembershipカードを作ると、ポイントが貯まります。|If you get a membership card at that store, you can accumulate points.
もっとcompactなスーツケースが欲しくて、いろんな店を見て回った。|I wanted a more compact suitcase, so I went around looking at various stores.
このjacketの裏地が破れていたから、交換してもらいました。|The lining of this jacket was torn, so I had it exchanged.
supermarketで試食したら、思ったより美味しかった。|When I tried a sample at the supermarket, it was tastier than I expected.
あのアプリでdeliveryを頼むと、一時間以内に来るよ。|If you order delivery through that app, it arrives within an hour.
vintageの食器を集めているから、骨董市によく行きます。|Because I collect vintage tableware, I often go to antique markets.
このstrapが切れかけているから、早めに修理に出した方がいい。|This strap is about to break, so you should take it in for repair soon.
お釣りにcoinがたくさん出て、財布がパンパンになった。|I got a lot of coins in change and my wallet got stuffed full.
returnの手続きがとても簡単で、すぐに返金されました。|The return process was very easy and I was refunded right away.
あのinteriorショップ、見ているだけでも楽しいよね。|That interior shop is fun just to browse, isn't it?
giftのラッピングをお願いしたら、無料でやってもらえた。|When I asked for gift wrapping, they did it for free.
secondhandの本屋さんで、ずっと探していた雑誌を見つけた。|I found a magazine I'd been looking for a long time at a secondhand bookstore.
このwallet、見た目はいいけど作りがちょっと安っぽいね。|This wallet looks nice but the construction feels a bit cheap.
bakeryで焼きたてのパンを買うと、袋の中で湿気てしまう。|When you buy freshly baked bread at the bakery, it gets steamy inside the bag.
今月はoverspendしてしまったから、来月は節約するつもりです。|I overspent this month, so I plan to save money next month.
She picked up a really 派手 scarf at the vintage market.|She picked up a really flashy scarf at the vintage market.
His whole outfit was so 地味 that nobody noticed him at the party.|His whole outfit was so plain that nobody noticed him at the party.
I need to find something 上品 to wear to the gallery opening.|I need to find something elegant to wear to the gallery opening.
Are those jeans too 細い for a formal dinner?|Are those jeans too slim for a formal dinner?
The fabric on this jacket feels incredibly 柔らかい.|The fabric on this jacket feels incredibly soft.
She always wears 白 sneakers no matter the season.|She always wears white sneakers no matter the season.
This coat is a little too 大げさ for a coffee date, don't you think?|This coat is a little too over-the-top for a coffee date, don't you think?
I found the most 珍しい buttons at the craft store yesterday.|I found the most unusual buttons at the craft store yesterday.
He folded his 長袖 shirts into perfect rectangles before packing.|He folded his long-sleeved shirts into perfect rectangles before packing.
The seamstress added a 細かい embroidered detail along the hem.|The seamstress added a fine embroidered detail along the hem.
Honestly, that skirt looks way too 短い for the office.|Honestly, that skirt looks way too short for the office.
She draped a 薄い linen shawl over her shoulders as the breeze picked up.|She draped a thin linen shawl over her shoulders as the breeze picked up.
I always feel more 自信 when I wear a well-fitted blazer.|I always feel more confident when I wear a well-fitted blazer.
That blouse comes in 深い green, which would suit you perfectly.|That blouse comes in deep green, which would suit you perfectly.
Can you find me something 暖かい but still stylish for the winter shoot?|Can you find me something warm but still stylish for the winter shoot?
His 古い leather belt actually became the centerpiece of his entire look.|His old leather belt actually became the centerpiece of his entire look.
She spent the whole afternoon looking for 丁度いい trousers that weren't too long.|She spent the whole afternoon looking for just-right trousers that weren't too long.
I want to try a more 大胆 color palette this spring.|I want to try a more bold color palette this spring.
Those 重い platform boots are going to destroy your ankles on cobblestones.|Those heavy platform boots are going to destroy your ankles on cobblestones.
He insisted on wearing his 新しい suit even to the casual barbecue.|He insisted on wearing his new suit even to the casual barbecue.
The collection featured a surprisingly 素朴 range of handwoven fabrics.|The collection featured a surprisingly rustic range of handwoven fabrics.
What's the most 高級 piece you've ever bought at a thrift store?|What's the most luxurious piece you've ever bought at a thrift store?
Her 濃い red lipstick perfectly matched the dress she'd chosen.|Her dark red lipstick perfectly matched the dress she'd chosen.
I think a 縦縞 pattern would look sharper than plain gray for your interview.|I think a vertical-stripe pattern would look sharper than plain gray for your interview.
She pulled a 軽い cardigan over her shoulders before heading outside.|She pulled a light cardigan over her shoulders before heading outside.
The designer's new line is surprisingly 手頃 compared to last season.|The designer's new line is surprisingly affordable compared to last season.
He always irons his collars 丁寧に so they lay absolutely flat.|He always irons his collars carefully so they lay absolutely flat.
I love how 繊細 the lace trim on that neckline is.|I love how delicate the lace trim on that neckline is.
That 大きい tote bag is really pulling the whole look together.|That large tote bag is really pulling the whole look together.
She stitched a 小さな floral patch onto the knee of her jeans.|She stitched a small floral patch onto the knee of her jeans.
The 固い waistband on these trousers is going to take forever to break in.|The stiff waistband on these trousers is going to take forever to break in.
He layered a 薄手 vest over his turtleneck for a cleaner silhouette.|He layered a lightweight vest over his turtleneck for a cleaner silhouette.
Are those shoes really 快適 enough for a ten-hour flight?|Are those shoes really comfortable enough for a ten-hour flight?
I asked the tailor for a more 現代的 cut on the lapels.|I asked the tailor for a more modern cut on the lapels.
The print on that dress is so 鮮やか it practically glows under the lights.|The print on that dress is so vivid it practically glows under the lights.
She wore a perfectly 清潔 white shirt tucked into wide-leg trousers.|She wore a perfectly clean white shirt tucked into wide-leg trousers.
I can't believe how 丈夫 this stitching still is after ten years of wear.|I can't believe how durable this stitching still is after ten years of wear.
That 渋い charcoal overcoat is exactly what I've been searching for all autumn.|That understated charcoal overcoat is exactly what I've been searching for all autumn.
She mixed a 華やか silk top with slouchy cargo pants and it somehow worked.|She mixed a gorgeous silk top with slouchy cargo pants and it somehow worked.
今年の秋はとてもcolorfulで、毎日散歩が楽しみです。|This autumn is very colorful, and I look forward to walking every day.
春になると、庭にwildflowerがたくさん咲きます。|When spring comes, many wildflowers bloom in the garden.
冬休みのplansはもう決めましたか？|Have you already decided your plans for winter break?
お盆のgatheringに間に合うように早めに帰省します。|I'll return home early to make it in time for the Obon gathering.
夏祭りの夜空はとてもvibrantで、見惚れてしまいました。|The night sky at the summer festival was so vibrant that I was mesmerized.
クリスマスのdecorationを飾るのは毎年家族みんなの仕事です。|Decorating for Christmas is the whole family's job every year.
この冬はsnowfallが少なくて、子どもたちはがっかりしています。|There's been little snowfall this winter, and the children are disappointed.
秋のharvest祭りに今年も参加するつもりです。|I intend to take part in the autumn harvest festival again this year.
春分の日はとてもpeacefulな気分になりますね。|The spring equinox puts you in a really peaceful mood, doesn't it.
お正月のfireworksを屋根の上から見ました。|I watched the New Year's fireworks from the rooftop.
梅雨の季節はどんよりしていてgloomy過ぎると感じます。|I find the rainy season too gloomy and overcast.
夏のsunsetはいつも心が洗われるようです。|A summer sunset always feels like it cleanses the soul.
ひな祭りにはfamilyみんなで特別な料理を作ります。|The whole family cooks special dishes together for Hinamatsuri.
この秋はとくにleafの色づきが早かったと思います。|I think the leaves changed color especially early this autumn.
冬至にはcandleをともして静かに過ごしたいです。|On the winter solstice, I'd like to light candles and spend the time quietly.
子どもの頃、snowmanを作るのが一番好きな冬の楽しみでした。|When I was a child, building a snowman was my favorite winter activity.
新年のcountdownパーティーに友達をたくさん招待しました。|I invited lots of friends to the New Year's countdown party.
花見の季節にはいろいろなflavorsの屋台料理が楽しめます。|During cherry blossom season, you can enjoy street food in many different flavors.
夏至の日は一年で一番longな昼間ですね。|The summer solstice has the longest daytime of the year, doesn't it.
お盆休みにcampsiteで星を眺めるのが今年の目標です。|My goal this year is to gaze at the stars at a campsite during the Obon holiday.
クリスマスイブにはfrostedクッキーを焼く予定です。|I plan to bake frosted cookies on Christmas Eve.
秋のfoggyな朝はなぜか懐かしい気持ちになります。|Foggy autumn mornings make me feel nostalgic for some reason.
初詣のあとでhotなコーヒーを飲みながら話しました。|After the New Year's shrine visit, we chatted over hot coffee.
春の嵐はとてもstormyで、桜がすぐ散ってしまいました。|The spring storm was very stormy, and the cherry blossoms scattered quickly.
夏のvacationに離島へ行くのが家族の恒例になっています。|Going to a remote island during the summer vacation has become a family tradition.
大晦日の夜はとてもspecialな雰囲気があると思います。|I think New Year's Eve night has a very special atmosphere.
秋が深まるとoutdoorでのバーベキューがとても気持ちいいです。|As autumn deepens, outdoor barbecues feel really wonderful.
冬のmorningは空気がきりっとしていて気持ちがいいですね。|Winter mornings are crisp and refreshing, aren't they.
ゴールデンウィークにはfreshな野菜を農家で買いに行きます。|During Golden Week, I go to buy fresh vegetables from a farm.
子どもの日のparade、今年はどのルートを通りますか？|Which route will the Children's Day parade take this year?
秋のchillyな夜は温かいお鍋が最高においしいです。|On chilly autumn nights, a warm hot pot is absolutely delicious.
春の終わりにはgoldenな麦畑が広がって本当に美しいです。|At the end of spring, golden wheat fields spread out and it's truly beautiful.
お彼岸には亡くなった家族をpeacefulな気持ちで偲びます。|During Ohigan, we remember our deceased family members with peaceful hearts.
冬のfestivalで地元の伝統芸能を初めて見ました。|At the winter festival, I saw local traditional performing arts for the first time.
夏の暑さのなかでもcoolな木陰でなら読書ができます。|Even in the summer heat, I can read books in a cool shaded spot.
秋の夜長にmysteriousな怪談を語り合うのが好きです。|I enjoy trading mysterious ghost stories on long autumn nights.
お盆のspiritualな雰囲気はほかの季節とは全く違います。|The spiritual atmosphere of Obon is completely different from any other season.
春一番が吹くとwarmな気持ちになって外に出たくなります。|When the first spring wind blows, I feel warm inside and want to go outside.
クリスマスの朝に子どもたちがgiftを開ける顔は最高ですね。|The look on children's faces as they open gifts on Christmas morning is priceless.
冬のfrostyな窓ガラスに絵を描くのは子どもの頃の楽しみでした。|Drawing pictures on frosty windowpanes was a childhood pleasure.
この映画のplotはとても複雑で、一度では理解できなかった。|The plot of this movie was so complex that I couldn't understand it in one viewing.
彼女はそのdramaを一晩中見続けて、朝になってしまった。|She kept watching that drama all night until morning came.
その小説のendingが気に入らなくて、友達と議論した。|I didn't like the ending of that novel and argued about it with my friend.
あのシーンはとてもemotionalで、思わず泣いてしまった。|That scene was so emotional that I cried without thinking.
この監督の新しいfilmはカンヌ映画祭で賞を取ったらしい。|It seems this director's new film won an award at the Cannes Film Festival.
その本のnarrationがとても独特で、読むのが楽しかった。|The narration in that book was very unique and it was enjoyable to read.
彼はそのhero役を完璧に演じて、みんなに感動を与えた。|He perfectly played the hero role and moved everyone deeply.
最近このstreaming サービスで古い映画をよく見ている。|I've been watching a lot of old movies on this streaming service lately.
その連続ドラマのseason二は去年より面白いと思う。|I think season two of that TV series is more interesting than last year's.
このscriptの台詞がとても自然で、俳優たちが演じやすそうだった。|The dialogue in this script was very natural and the actors seemed to find it easy to perform.
あの本のcover デザインが素敵すぎて、思わず買ってしまった。|The cover design of that book was so nice that I ended up buying it impulsively.
その映画のsoundtrackが頭から離れなくて困っている。|I can't get the soundtrack of that movie out of my head and it's bothering me.
彼女はあのfantasyシリーズを全部読んで、続きを待ち望んでいる。|She has read the entire fantasy series and is eagerly waiting for the next installment.
このドラマのcastが豪華すぎて、毎週楽しみにしている。|The cast of this drama is so star-studded that I look forward to it every week.
その映画はvisuallyとても美しくて、映像だけで満足できる。|That movie is visually very beautiful and the visuals alone are satisfying.
あのcomedy番組は家族みんなで笑えるからお気に入りだ。|That comedy program is my favorite because the whole family can laugh together.
この本のchapter一がとても引き込まれる書き出しで驚いた。|I was surprised by the very gripping opening of chapter one of this book.
そのアニメのvoice actingが素晴らしくて、キャラクターに命が吹き込まれた。|The voice acting in that anime was wonderful and the characters came to life.
この映画のtwistは予想外で、観客全員がびっくりしたに違いない。|The twist in this movie was unexpected and all the audience must have been surprised.
彼はそのdocumentaryを見て、環境問題についてもっと真剣に考え始めた。|After watching that documentary, he started thinking more seriously about environmental issues.
その本はとてもgraphicな描写が多くて、子供には向いていない。|That book has many very graphic descriptions and is not suitable for children.
このドラマのfinal話は視聴者の期待を裏切らない内容だった。|The final episode of this drama had content that didn't betray the viewers' expectations.
あの映画のtrailerを見ただけで、もう感動してしまった。|I was already moved just from watching the trailer of that movie.
その小説はsci-fiジャンルの中でも特に評価が高い作品だ。|That novel is a particularly highly regarded work even within the sci-fi genre.
このシーンのlightingがとても印象的で、写真みたいに美しかった。|The lighting in this scene was very impressive and beautiful like a photograph.
彼女のお気に入りのauthorは毎年新しい本を出版している。|Her favorite author publishes a new book every year.
その映画はboxoffice的には失敗したが、批評家には高く評価された。|That movie failed at the box office but was highly praised by critics.
このドラマのpace が遅すぎて、途中で見るのをやめてしまった。|The pace of this drama was too slow and I ended up stopping midway.
あの本はmysterious な雰囲気が最後まで続いて、とても引き込まれた。|That book maintained a mysterious atmosphere until the end and was very captivating.
その俳優のperformanceはアカデミー賞候補になるほど素晴らしかった。|That actor's performance was wonderful enough to be an Academy Award nominee.
この映画はsubtitleつきで見ると、より深く内容が理解できる。|Watching this movie with subtitles allows you to understand the content more deeply.
そのシリーズの最新volumeはもう書店に並んでいるらしい。|It seems the latest volume of that series is already on bookstore shelves.
彼はそのシーンのimpactが大きすぎて、しばらく立ち直れなかった。|The impact of that scene was so great that he couldn't recover for a while.
このドラマのromantic な展開がとても好きで、毎回胸がときめく。|I really love the romantic developments in this drama and my heart flutters every time.
その映画監督のvisionは常に独創的で、作品ごとに驚かされる。|That film director's vision is always original and I'm surprised with each work.
あの本のdialogueがとてもリアルで、登場人物たちが生きているようだ。|The dialogue in that book is so realistic that the characters seem to be alive.
このドラマはとてもdark なテーマを扱っているが、メッセージは希望に満ちている。|This drama deals with very dark themes but the message is full of hope.
その映画のopening シーンは強烈で、最後まで目が離せなかった。|The opening scene of that movie was intense and I couldn't take my eyes off it until the end.
あの本は世界中でbest seller になって、今や映画化も決まったそうだ。|That book became a best seller worldwide and it's said a film adaptation has been decided.
この映画のvillaineはとても魅力的で、主人公より人気があるくらいだ。|The villain of this movie is so charming that they're almost more popular than the protagonist.
うちの猫はとてもplayfulで、一日中走り回っています。|My cat is very playful and runs around all day.
この犬はhealthyな食事をしているので、毛並みがきれいです。|This dog has a healthy diet, so its coat is beautiful.
水槽のfishたちが元気に泳いでいるのを見るのが好きです。|I like watching the fish in the aquarium swimming energetically.
うさぎのfluffyな耳を触ると、とても癒されます。|When I touch my rabbit's fluffy ears, I feel very soothed.
ペットショップで小さなhamsterを見つけて、一目惚れしました。|I found a little hamster at the pet shop and fell in love at first sight.
この鳥はとてもvocalで、朝から晩までさえずっています。|This bird is very vocal and chirps from morning to night.
獣医さんがうちの犬をgentle に診てくれました。|The vet examined our dog gently.
公園でstrayな猫に餌をあげている人を見かけました。|I saw someone feeding stray cats at the park.
うちのパロットはとてもcleverで、名前を覚えました。|Our parrot is very clever and learned its name.
子犬のpawsがとても小さくて可愛いです。|The puppy's paws are so tiny and adorable.
この熱帯魚はcolorfulで、水槽が華やかになりました。|These tropical fish are colorful and brightened up the aquarium.
猫がsofaの上でずっと昼寝をしています。|The cat has been napping on the sofa all along.
新しいgerbilを飼い始めて、毎日観察しています。|I started keeping a new gerbil and observe it every day.
うちの犬はoutdoorが大好きで、散歩を楽しみにしています。|Our dog loves the outdoors and looks forward to walks.
この亀はslow ですが、長生きするそうです。|This turtle is slow, but they say it lives a long time.
野生のfoxが庭に来て、家族みんなが驚きました。|A wild fox came into the garden and surprised the whole family.
猫のgrooming習慣を見ていると、いつも感心します。|I'm always impressed watching my cat's grooming habits.
この馬はvery gentleで、子供たちも安心して乗れます。|This horse is very gentle, so children can ride it without worry.
hamsterのcageを毎週きれいに掃除しています。|I clean the hamster's cage every week.
犬がplaygroundで他の犬と楽しそうに遊んでいます。|The dog is happily playing with other dogs at the playground.
うちのトカゲはexoticな見た目で、よく話題になります。|Our lizard has an exotic appearance and is often a topic of conversation.
猫がcurtainをよじ登って困っています。|The cat keeps climbing up the curtains and it's a problem.
この犬種はloyalで、飼い主をいつも守ろうとします。|This dog breed is loyal and always tries to protect its owner.
獣医の予約をonlineで取るようになりました。|I've started making vet appointments online.
うちのウサギはindoorで飼っているので、とても人懐っこいです。|We keep our rabbit indoors, so it's very friendly.
小さなpuppyが初めて吠えるのを聞いて、家族全員が笑いました。|When the small puppy barked for the first time, the whole family laughed.
この猫はとてもindependentで、一人でいるのが好きです。|This cat is very independent and likes to be alone.
金魚のfeedingは毎朝子供の仕事になっています。|Feeding the goldfish has become the children's job every morning.
うちの犬は雷が怖くて、stormの日は震えています。|Our dog is scared of thunder and trembles on stormy days.
この小鳥はcaptiveで育ったのに、野性的な本能が残っています。|This small bird was raised in captivity, yet its wild instincts remain.
ペットのcatのために特別なベッドを買いました。|I bought a special bed for my pet cat.
うちのヘビはpetとして珍しいと言われますが、大人しいです。|People say it's unusual to keep our snake as a pet, but it's calm.
この犬はagileで、どんな障害物コースも楽々こなします。|This dog is agile and handles any obstacle course with ease.
猫が新しいscratchingポールを気に入ってくれて嬉しいです。|I'm glad the cat took a liking to the new scratching post.
野良犬をrescueしてから、家の雰囲気が変わりました。|Since we rescued the stray dog, the atmosphere at home has changed.
このイグアナはvery calmで、触っても逃げません。|This iguana is very calm and doesn't run away when touched.
うちの魚はtropical種で、水温の管理が難しいです。|Our fish are a tropical species and water temperature management is difficult.
猫のwhiskerを観察すると、気分が分かると聞きました。|I heard that if you observe a cat's whiskers, you can understand its mood.
この老犬はseniorになっても、毎日散歩を楽しんでいます。|Even though this old dog has become a senior, it enjoys its daily walk.
新しいferretを家に迎えて、他のペットとの相性が心配です。|We welcomed a new ferret into the home and I'm worried about how it will get along with the other pets.
冬休みにfamilyと一緒に温かい鍋を食べました。|During winter break, I ate warm hot pot together with family.
夏祭りのfireworksは毎年すごくきれいですね。|The summer festival fireworks are really beautiful every year, aren't they?
去年のクリスマスはとてもsnowで道が凍っていました。|Last Christmas it was very snowy and the roads were frozen.
お正月にgrandparentsの家へ挨拶に行く予定です。|I plan to go to my grandparents' house to give New Year's greetings.
秋のharvest seasonには果物がとても安くなります。|During the autumn harvest season, fruit becomes very cheap.
春分の日はdaylightがどんどん長くなる頃です。|The spring equinox is around the time daylight keeps getting longer.
今夜のeveは家族みんなで年越しそばを食べます。|On tonight's eve, the whole family eats year-end noodles together.
夏の朝はhumidで、外に出るだけで汗をかきます。|Summer mornings are humid, and you sweat just by stepping outside.
バレンタインデーにhandmadeのチョコを渡しました。|I gave handmade chocolates on Valentine's Day.
今年の冬はとてもmildで、雪がほとんど降りませんでした。|This winter was very mild and it barely snowed at all.
桜の季節にはたくさんのtouristが公園に集まります。|During cherry blossom season, many tourists gather in the park.
秋の夜長にcandleをつけながら本を読むのが好きです。|I like reading books by candlelight on long autumn nights.
七夕のdecorationを子供たちと一緒に作りました。|I made the Tanabata decorations together with the children.
春のpicnicには近くの丘が一番好きな場所です。|For spring picnics, the nearby hill is my favorite spot.
冬至にはlemon入りのゆず湯に入る習慣があります。|On the winter solstice, there's a custom of bathing in yuzu hot water with lemon.
お盆のperiodには帰省する人が多くて電車が混みます。|During the Obon period, many people return home and trains get crowded.
今年の夏はrecord-highの気温が続いていて大変です。|This summer has been really tough with record-high temperatures continuing.
クリスマスのwreathを玄関のドアに飾りました。|I decorated the front door with a Christmas wreath.
春雨のseasonは道がぬかるんでいて歩きにくいです。|The spring rain season makes the roads muddy and hard to walk on.
秋の文化祭でhandcraftのアクセサリーを売りました。|I sold handcraft accessories at the autumn school festival.
大晦日にcountdownイベントへ友達と行くつもりです。|I plan to go to a countdown event with friends on New Year's Eve.
夏のsunsetはとてもオレンジ色で息をのむほど美しい。|The summer sunset is so orange it's breathtakingly beautiful.
節分の夜はとてもfestiveで、家族みんなが豆まきをします。|The night of Setsubun is very festive, and the whole family throws beans.
冬のmorningに窓ガラスが凍っているのを見るのが好きです。|I like seeing the window glass frozen on winter mornings.
ハロウィンのcostumeを一週間前から準備し始めました。|I started preparing my Halloween costume a week in advance.
春のfreshな空気の中で朝ごはんを外で食べました。|I ate breakfast outside in the fresh spring air.
秋になるとleafの色が赤や黄色に変わって美しいです。|When autumn comes, the leaves turn red and yellow and it's beautiful.
お花見のseasonに雨が降ると少し残念な気持ちになります。|When it rains during cherry blossom viewing season, I feel a little disappointed.
冬のfestivalで熱々のスープを飲んで体が温まりました。|At the winter festival, I drank piping hot soup and warmed up.
夏休みにcamping tripへ行って星空を眺めました。|During summer vacation, I went on a camping trip and gazed at the starry sky.
春の新学期はいつもexcitingな気持ちで始まります。|The new school term in spring always starts with an exciting feeling.
端午の節句にoutdoorで鯉のぼりを揚げるのを見ました。|On Children's Day, I watched carp streamers being flown outdoors.
年末のgift-givingの習慣はお世話になった人に感謝を伝えます。|The year-end gift-giving custom conveys gratitude to those who have helped you.
梅雨が明けるとsunshineがまぶしくて夏の始まりを感じます。|When the rainy season ends, the sunshine is dazzling and you feel summer beginning.
冬のholidayに親戚みんなが集まってにぎやかでした。|During the winter holiday, all the relatives gathered and it was lively.
秋の夜にlantarnを持って近所を歩く祭りがあります。|There's a festival in autumn where you walk the neighborhood carrying lanterns.
春のfirst dayに新しい手帳を買うのが毎年の楽しみです。|Buying a new planner on the first day of spring is my annual pleasure.
